Xe'paamaaj	Abdomen
Saqakaab'	Abejón de miel
Kaab'	Abejón que pica
Muqul rati't	Abogado
B'otol si'k	Abreviatura
Q'axal Tziij	Absolutivo
Ati't Kupatz'ijb'	Abuela
Ati't mama'/K'ulu'b'aneel	Abuelo
K'iyareem	Abundancia
K'iyaal	abundante
K'iyaal	Abundar
Rub'ajnikiil ruuwach uleew	Accidentes geográficos
Xo'xaya'	Aceite
Lik'iichaaj	Acelga
K'exotz'ijb'	Acento ortográfico
Mak'exotz'ijb'	Acento prosódico
Jisaxaq	Acicalada
K'ay	Ácidos
K'asatziij	Activa
samajiineem	Actividad
Ajpaya'ii'	Acuáticos
Rutz'aaqaat	Aditivo
jalwach	Adjetivo
Jalwach Ixiniil	Adjetivo Atributivo
Jalwach B'ixiniil	Adjetivo Predicativo
Ajilab'al Jalwach	Adjetivos Cardinales
Cholajilib'al Jalwach	Adjetivos Ordinales
Ixiniil Jalwach	Adjetivos Posesivos
Tz'atol samaaj	Administrador
K'ask'o'eel	Admirativa
Xaan	Adobe
Jalb'anooj	Adverbio
Jalb'a'ajilab'al	Adverbio de Cantidad
Jalk'atiineem	Adverbio de Lugar
Jalb'ajnikiil	Adverbio de Modo
Jalb'alq'iij	Adverbio de Tiempo
Ruqajib'al xik'ach'ijch'	Aeropuerto
Xi'laatziij	Afijo
Q'aqa'	África
Q'eqawinaq	Africanos
Cholob'al Q'iij	Agenda
B'anoneel	Agente
Tz'aqatisaaneem	Agregar
Tijko'mineel	Agricultor
Tijko'mineem	Agricultura
Ch'amch'oj	Agrio
Retamab'aliil Tijko'm	Agronomía
Mulaaj	Agrupación
Ya'	Agua
Roqow ya'	Agua hervida
Raxaya'	Agua potable
ooj	Aguacate
ti' ooj	Aguate pequeña
Yutz'uyik	Aguda
Kot	Agudo
Xijk	Águila
Q'aqakot	Águila negra
Ko'lakot	Águila pequeña
Yakooj	Ahorrar
Yakoneem	Ahorro
Ruxula'juyu'	Aire
Xika'	Alacrán
K'amach'ijch'	Alambre
B'anol jaay	Albañil
Ch'ob'ichaaj	Alcachofa
K'amol b'eey	Alcalde
Ajch'ame'y	Alcalde auxiliar
Jokaaj	Alcance de ambos puños
Chipaaj	Alcance de dos dedo
chuyaaj	Alcance de los cuatro dedos
Moq'aaj	Alcance del puño
Juyu'b'al	Aldea
Choltz'ijb'	Alfabeto
B'o'j	Algodón
Tzuqub'al	Alimentable
Ilineem	Alimentación
Tzuquun	Alimentado
tzuquneel	Alimentador
netzuquuni	Alimentan
Tzuquuj	Alimentar
uk'uyaa'	Alimentos
Wa'achikopiil	Alimentos de origen animal
Chupub'al	Almohadilla
Ruukaab' wa'ineem	Almorzar
Ruukaab' wa'iim	Almuerzo
Qaajik	Alquilar
Qajooj	Alquiler
nimaalaal	Altura
Champomal saqiil	Alumbrado público
tijoxeel	Alumno
Ajtijoxelaa'	Alumnos
K'ay	Amargo
Retamab'aliil kajuleew	Ambiente Natural
Xq'ajko'setul	América
Pooq'	Ampollas de la ano
Ch'ob'otzijob'al	Análisis Lingüsticos
Junuman naa'ooj	Analogía
Retamab'aliil ch'akulaal	Anatomía
Ruuwach	Ancho
Ajsikirisaaneel	Anestesiólogo
Tz'aqatiil	Anexión
Ajraq'uleew	Anfibio
Ajraq'uleew	Anfibios
Tzuk'	Angulo
Paya'il chikoj	Aniales acuáticos
chikop	Animal
ti'iij chikop	Animales carnívoros (J)
Awaj tijko'm	Animales domésticos
Ajichaaj chikop	Animales herbívoros
Ajti'ijiil	Animales invertebrados
K'olob'a'neelaa'	Animales ovíparos
Kajapamaaj	Animales rumiantes
Aj pa juyu' chikop	Animales salvajes
Ajuleew	Animales terrestres
Kojaxel chikop	Animales útiles al hombre
B'aqilaj chikop	Animales vertebrados
Ajxik'aa'	Animales voladores
chikopii'	Animles
Tz'umanelaa'	Anmales mamíferos
Mayamajy	Año de 400 día
Choloq'iij	Año sagrado
K'awax	Anona
Q'anak'awax	Anona amarilla
K'aqak'awax	Anona rosada
Najb'eyaal	Antecesor
Tasawach	Anteojos
Najb'eyaal	Anterior
Pan Q'an	Antigua
B'anayoon/b'anoyinaq	Antipasiva
Ch'a'on Tziij	Antónimos
Retamab'aliil winaqileem	Antropología
Kik'ib'al	Aparato Circulatorio
Ilinib'al	Aparato Digestivo
Uxulaanib'al	Aparato respiratorio
tesajaay	Apartamento
Sik'aj	Apazote
Ruukaab' B'i'aaj	Apellidos
Kotichaaj	Apio
Konojeel	Aplicativo
Ritzelal B'i'aaj	Apodo
kuchuneem	Aportar
Ch'uut	Apóstrofe
Ojtaqineem	Aprender
Naqajeem	Aproximación
Naqajiineem	Aproximar
Lo'xil	Aragón
Am	Araña
Chee' Amaq'	Árbol nacional
Nik'akot	Arco
Ixikonq'a'	Arco Iris
kuuk	Ardilla
Ejtz'anib'al	Áreas deportivas
Saqasanayi'	Arena de campo
Raxasanayi'	Arena de playa
Ib'ooy	Armado
K'amajo'b'eneem	Armonía
Nimalajl	Arroba
Ruuq'a' raqan ya'	Arroyo
saqiximil	Arroz
Achib'alaaneem	Arte
Retamab'aliil tzijob'al	Artes de lenguaje
Retamab'aliil tzijob'al	Artes del Idioma
Weqa'ileem	ARTES DEL LENGUAJE
Ch'ujtatziij	Articulaciones
Ch'u'tatziij	Articulo
Ch'ujtab'ii'	Artículo
Mach'ujtab'ii'	Artículo Determinativo
Ch'ajch'ojirisaaneem	Asear
Ch'ajch'ojiil	Aseo
Q'anasetul	Asia
Q'anawinaq	Asiáticos
Rukojoliil etamab'al	Asignatura
Kuchto'ooneem	Asistencia social
Chojq'ichi'	Asociarse
B'eyaliil	Aspecto
Kani'iil	Aspecto Completivo
Mekani'iil	Aspecto Incompletivo
K'ixk'oj	Áspero
Muluch'umiil	Asteroide
Lik'ich'umiil	Astro
Retamab'aliil lik'ich'imiil	Astronomía
Xib'ineem	Asustarse
Soto'im k'aam	Atarraya para profundidades
Lik'ib'al ch'uu'	Atarrayita
Palowatinaamit	atlántico
Kaq'iq'aal	Atmósfera
Rejqale'n	atribuciones
Ixinak'u'xatziij	Atributivo
Ruuwac jaay	Atrio
tijonijaay	Aula
k'iyirisaneem	Aumentar
Nimarisaaneel	Aumentativos
Ch'jch'	Automóvil
K'ala'b'eey	Autopista
K'amol b'eey, Ajpop	Autoridad
Ajxik'aa'	Ave
Tz'ikin	Ave, de todo género
Pa'lib'eey	Avenida
Ajxik'aa'	Aves
Xik'ach'ijch'	Avión
Ch'itin xik'ach'ijch'	Avioneta
Aqaaj	Avispa
Tok'oy	Avispa delgada y negra
Ajch'ame'y	Avispa grande que pica
Maske'laaj	Axilas
K'uum	Ayote
Tojq'aaneem	Ayudarse con algo
Me'awayineel	Ayunador
Me'awayineem	Ayunar
Mewajeem	Ayuno
K'ajakaab'	Azúcar
Lak'ajuut	Azucena
Mataq'tami'	Ballena
Taara	Bambú
Muxa'neem	Bañarse
Tujaneem	Bañarse en temascal
Pwoqab'al	Banco
Lakam	Bandera
Isimachii'	Barba
Nimajukuu'	Barco
Molaaj	Barrio
Kutamiil	Barros de la cara
Mees	Basura
Aq'e'm	Batea
Wujab'al	Biblioteca
pwoq	Billete
Wixikinati'aaj	Bisabuela
wixikinmam	Bisabuelo
Ixikinamamaaj	Bisnietos
Iximamaaj	Bisnietos de hombre
ixikiniyaaj	Bisnietos de mujer
Tzalawach	Bizco brazo
Tees	Bledo
Chi'aaj	Boca, labios
Ya'l	Bolsa
Joloya'l	Bolsa plástica
Saqib'al	Bombilla
Chupub'al	Borrador
chupuuj	Borrar
K'ichee'laaaj	Bosque
Retamab'al chee'aq'ayiis	Botánica
Lameeta	Botella
Jaaj	Brazada
Raxab'o'j ichaaj	Brócoli
Tukur, xikin	Búho o tecolote
Keej	Caballo
Keej	Caballo
Amaq'ixeel	Cabecera
Risimal wi'aaj	Cabello
Wi'aaj	Cabeza
Ruutza'm uleew	Cabo
K'isik'	Cabra
Kokow	Cacao
K'alab'al	Cadera
Chuum	Cal
Raxakeej	Calambre
Raxakeej	Calambre
Watwachiineel	Calculadora
Watwachineem	Calcular
Watwachineem	Calculo
Chol q'iij	Calendario sagrado
K'atan	Cálido
Tz'ulub'al kotz'i'j	Cáliz
B'eey	Calle
Aab'ajab'eey	Calle empedrada
Ruq'a' b'eey	Callejón
Maq'enaal	Calor
k'oxawi'	Calvo
Cho'm	Camarón
cho'm	Camarón
B'eey	Camino
Yutz'ub'eey	Camino angosta
Ijqanib'al ch'ijch'	Camión
B'ijnib'al ch'ijch'	Camioneta
Patz'am	Caña
Ejtz'anib'al	Cancha
Aqanatz'anib'al	Cancha de balompié
Q'ab'atz'anib'al	Cancha de baloncesto
B'olosaqib'al	Candela eléctrica
Cha'eel	Candidato
Tap	Cangrejo
Jukuu'	Canoa
ajil	Cantidad
B'iix	Canto
Paamiil	Capacidad (medidas)
Na'ooneem	Capacidad mental
tanaaj	Capitulo
palaj	Cara
T'oot'	Caracol
xaaq	Carbón
Ixtu'xiil	Carcañal
Ti'iij	Carne
Josol chee'	Carpintero
Tz'aqab'eey	Carretera asfaltada
Ulewab'eey	Carretera de terrecería
Taqonwuuj	Carta
Cholk'asleemaal	Carta magna o constitución politica
K'oxawuuj	Cartapacio
Tz'aqawuuj	Cartelera
Tzaq perawuuj	Carteles, afiches
Perawuuj	Cartulina
jaay	Casa
Rixikin Tinaamit	Caserío
Kaxlan tziij	Castellano
umaaneel	Causativo
unuup	Ceiba
Metz'aaj	Cejas
K'ajab'aj	Cemento
Chaaj	Ceniza
Jo'k'aliil	Centena
K'utaljo'k'al	Centímetro
Nik'aajiil	Centro
Achk'ayiij	Centros comerciales
Q'etaxaq	Cerrada
Q'oral xikin	Cerumen
Meejaaj	Ciclo
Etamab'aliil	Ciencia
Retamab'aliil kajuleew	Ciencias naturales
Juk'ala'	Ciento sesenta millares
ajilaaj	Cifra
K'alab'al	Cintura
K'isis	Ciprés
Satasik	Circular
Satasik	Círculo
Satasik	Circunferencia
Juyu'	Ciudad
saqiil	Claridad
saqiil	Claridad
kalaawux	Clavo
k'atewaal	Clima
k'utunel pwoq	Cobrador
Q'anach'jch'	Cobre
tzakoon	Cocida
Jachojiil	Cociente
tzakojaay	Cocina
ajtzakoneel	Cocinera
ajk'aas	Codeudor
Tza'maxe'eel	Cofía
latz'ub'al tz'oo'	Colador de nixtamal
Ixinatijob'al	Colegios
Saqab'o'j ichaaj	Coliflor
tuunaaj	Colmena
Ya'ooj	Colocar
B'oniil	Color
Pa'leem	Columna
Su'mal lijaaj	Columna vertebral
Mixtuq'	Coma
Xojt	Comal
Chi' xojt	Comalapa
Wa'ab'al jaay	Comedor
Wa'iil	Comensal
K'ayiineem	Comercialización
K'ayiij	Comercio
Achib'iil	Compañeros(a)
K'ayeew	Complejo
Tz'aqatiil	Complemento
Tz'aqat	Completo
Taqe'eem	Comprender
Taqeem	Comprensión
Junawachiil	Común
Amaq'	Comunidad
ejchaam	Concuño de mujer
Rub'ajnikiil kaqiq'aal	Condiciones atmosféricas
Ch'ob'aaj	Congregación
Amaqi'l iximuleew	Congreso de la republica de Guatemala
Kemab'anoj tziij	Conjugación
B'anoj pach'uuneem	Conjugación verbal
Pach'uuneem	Conjugar
Moolaaj	Conjunto
Talan Moolaaj	Conjunto vacío
Wuuk'iin	Conmigo
Etamab'al	Conocimiento
Majooneem	Conquistar (invasión)
Ch'akooj	Conquistar (un trofeo)
Mookaaj rixin nuk'ul naa'ooj	Consejo asesor
Ruxe'al komon tziij	Considerando
Ruuk'iin	Consigo
Ch'akultz'ijb'	Consonante
Cholk'asleemaal	Constitución política
Wachalii'	Consuegros
ajilaneel	Contador
ajilaaneem	Contar
Uk'aaniil	Contenido
Awuuk'iin	Contigo
Setul	Continente
K'uleemaal	contititucion
To'oneem	Cooperar
To'on jaay	Cooperativa
Nuk'usamajineel	Coordinador
Nuk'usamajiineem	Coordinar
Ruuwi' chee'	Copa de árbol
Achib'aleem	Copiar
K'u'xaaj	Corazón
K'u'xa'q	Corazonada
K'sikaa'	Cordal caninos
Ju'junikiil	Correspondencia
K'amasaqiil	Corriente eléctrica
Kajuleew	Cosmovisión
K'alk'a'x	Costado
Pooxaaj	Costilla
Pooxaaj	Costillas
nop	Coyol
nop	Coyol
Utiiw	Coyote
Xolq'atin q'iij	Coyuntura (circunstancia)
Ruwi'juyu'	Cráter
Tz'ajatz'ijb'ab'al	Crayones
Winaqarisaaneem	Creación
K'ijyeem	Crecen
K'ijyeel	Creciente
Saqatzeb'	Crema
Nuq'axawachaaj	Cristalino
Kajatzuk'awuuj	Cuaderno de cuadricula
Kilowuuj	Cuaderno de dibujo
Ka'juxawuuj	Cuaderno de doble línea
T'ot'awuuj	Cuaderno de espiral
Ch'itiwuuj	Cuaderno de notas
aniwuuj	Cuaderno de taquigrafía
Kajatzuk'	Cuadrado
Kajatz'uk'	Cuadrado
Rukajul tz'ijb'	Cuadro fonémico
Rukajul q'ajatz'ijb'	Cuadro fonético
Ka'k'al	Cuarenta
Ruupaam q'ab'aaj	Cuarta
rukaaj	Cuarto
Ruukaaj ruuwach tijooneem	Cuarto diversificado
qulaaj	Cuello, garganta
choltun	Cuenta larga
k'aam	Cuerda
xamal	Cuerpo
Ruch'akul taqowuuj	Cuerpo de la carta
Xamal winaq	Cuerpo humano
Chajiin	Cuidado
Chajixik	Cuidar
Xukuleem	Culto religioso
B'aaluuk	Cuñado de hombre
Ejchaam	Cuñado de mujer
Kotojux	Curva
Tixli'	Danta
Chi jo'jtaq	De cinco en cinco
Chi kajkaj	De cuatro en cuatro
Lajujitaq	De diez en diez
Chi ka'ka'	De dos en dos en dos
B'elejetaq	De nueve en nueve
wajxaqitaq	De ocho en ocho
waqitaq	De seis en seis
chi ox ox	De tres en tres
Chi jujun	De uno en uno
Lajajunaa'	Década
Lajitaq	Decena
Rulajujil xo'iil	Decena de millar
Lajujiil	Decimal
lajujilaal	Decimales
Rulajejto'k'al	Decímetro
K'isiyeel	Decreciente
Rukowilal tziij	decreto
Rukowil tziij	Decreto
Ruuwi' q'ab'aaj	Dedos de la mano
Ruuwi' aqanaaj	Dedos del pie
Xaax	Delgada
Junawachiil	Democracia
Chilaxaq	Dentada
Nimaq reey	Dentudo
Ximoj ri'iil	Dependencia
Ijkiq'a'	Derecha
Rukowil chi'aaj	Derecho
Rucholajiil k'aslemaal	Derechos humanos
Jotaytziij	Derivación
Jotayineem	Derivar
Kaqpujink'u'xaal	desaliento
Najb'eywa'ineem	Desayunar
Najb'ey wa'iim	Desayuno
Talanik uleew	Desierto
Jech'ejik	Desigual
Jech'ejikeel	Desigualdad
Jiil	Desinencia
Jacob'eenm	Despedida
Taqoxeel	Destinatario
K'aas	Deuda
Ajk'aas	Deudor
Q'iij	Día
Jaltzijob'al	Dialecto
Tz'ijb'awuuj kowatziij	Diario oficial
eyaaj	Diente
kojoliil	Diferencia
Tasulitz	Difteria
Q'ijineel	Dignidad
Ch'itirisaneel	Diminutivos
Taqonel amaq'	Diputado
Ochochib'al	Dirección
Ochochib'al jaay	Dirección
Ochochib'al jaay	Dirección
Jikatziij	Direccional
Jiik	Directo
K'amol b'eey	Director
Nimantziij	Disciplina
Ka'xilatziij	Disílaba
Ko'pisaneem	Disminuir
kojoliil	Distancia
kojoliil	Distancia
Ruuwach tijoneem	Diversificado
Xolob che'	Diversos árboles
Jachataleel	Dividiendo
Jachooj	Dividir
Jachatatal	Divisible
Jachoneem	División
Rulewal q'anti'	División occidental
Ruweqa'I q'aqti'	División oriental
Jachooneel	Divisor
Ti'oneem/q'oxoweem	Dolor
Awaj tijk'om	Domestica
Warab'al	Dormitorio
Riij aqnaa	Dorso del pie
Rokib'al tziil	Drenaje
Manimantziij	Duda
Ki'	Dulce
Tara'sna	Durazno
Yab'iliik'	Eclipse de luna
Yab'il q'iij	Eclipse del sol
K'ulak'ut	Educación
Retamab'alil siloneem	Educación física
Retamab'aliil ochochib'al	Educación para el hogar
Ruuwi' tijoneem	Educación universitario
Sutub'al	Eje
Samajineem/tijon ri'iil	Ejercicio
Cha'oneem	Ejercito
Raxakinaq'	Ejotes
Arjaa'	El o ella
Ula'ajaay	Elección
Elesaneem	Eliminar
Eje'ee'	Ellos o ellas
Ula'neel	Embajada
Aq'omaneel	Embajador
Kowilaj chee'	Encino
Qajeem pa wi'aaj	Enfermera
Okob'al	Entender
Juun	Entero
Ruq'ijaal	Entrada
Ajilab'aneem	Enumerar
Ruuwach tz'umaal	Epidermis
Cha'oneem	Época
B'anb'aneliil	Ergatividad
B'anb'aneel	Ergativos
Sojlaxaq	Escamada
Lik'aya'	escarcha
