tzWord,esWord,url,status
Xe'paamaaj,Abdomen,https://v2.dictionary.tzutujil.org/words/67bca0d8a53da53fac256153,Created
Saqakaab',Abejón de miel,https://v2.dictionary.tzutujil.org/words/667250b65a8ee2d55bcbbf9e,Merged
Kaab',Abejón que pica,https://v2.dictionary.tzutujil.org/words/667256e25a8ee2d55bcbc506,Merged
Muqul rati't,Abogado,https://v2.dictionary.tzutujil.org/words/67bca0d8a53da53fac256154,Created
B'otol si'k,Abreviatura,https://v2.dictionary.tzutujil.org/words/67bca0d8a53da53fac256155,Created
Q'axal Tziij,Absolutivo,https://v2.dictionary.tzutujil.org/words/67bca0d8a53da53fac256156,Created
Ati't Kupatz'ijb',Abuela,https://v2.dictionary.tzutujil.org/words/67bca0d8a53da53fac256157,Created
Ati't mama'/K'ulu'b'aneel,Abuelo,https://v2.dictionary.tzutujil.org/words/67bca0d8a53da53fac256158,Created
K'iyareem,Abundancia,https://v2.dictionary.tzutujil.org/words/67bca0d8a53da53fac256159,Created
K'iyaal,abundante,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac25615a,Created
K'iyaal,Abundar,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac25615a,Merged
Rub'ajnikiil ruuwach uleew,Accidentes geográficos,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac25615b,Created
Xo'xaya',Aceite,https://v2.dictionary.tzutujil.org/words/67b8a8aa2f1b785c39fb0305,Merged
Lik'iichaaj,Acelga,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac25615c,Created
K'exotz'ijb',Acento ortográfico,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac25615d,Created
Mak'exotz'ijb',Acento prosódico,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac25615e,Created
Jisaxaq,Acicalada,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac25615f,Created
K'ay,Ácidos,https://v2.dictionary.tzutujil.org/words/66724f9b5a8ee2d55bcbbec0,Merged
K'asatziij,Activa,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac256160,Created
samajiineem,Actividad,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac256161,Created
Ajpaya'ii',Acuáticos,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac256162,Created
Rutz'aaqaat,Aditivo,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac256163,Created
jalwach,Adjetivo,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac256164,Created
Jalwach Ixiniil,Adjetivo Atributivo,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac256165,Created
Jalwach B'ixiniil,Adjetivo Predicativo,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac256166,Created
Ajilab'al Jalwach,Adjetivos Cardinales,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac256167,Created
Cholajilib'al Jalwach,Adjetivos Ordinales,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac256168,Created
Ixiniil Jalwach,Adjetivos Posesivos,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac256169,Created
Tz'atol samaaj,Administrador,https://v2.dictionary.tzutujil.org/words/67bca0d9a53da53fac25616a,Created
K'ask'o'eel,Admirativa,https://v2.dictionary.tzutujil.org/words/67bca0daa53da53fac25616b,Created
Xaan,Adobe,https://v2.dictionary.tzutujil.org/words/67bca0daa53da53fac25616c,Created
